Year,ISO_Code,Countries,Economic Freedom Summary Index,Rank,Quartile,Government consumption,data,Transfers and subsidies,data,Government investment,data,Top marginal income tax rate,data,Top marginal income and payroll tax rate,data,Top marginal tax rate,State ownership of assets,Size of Government,Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Gender Legal Rights Adjustment,Legal System & Property Rights,Money growth,data,Standard deviation of inflation,data,Inflation: Most recent year,data,Freedom to own foreign currency bank accounts,Sound Money,Revenue from trade taxes (% of trade sector),data,Mean tariff rate,data,Standard deviation of tariff rates,data,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting,Regulatory trade barriers,Black market exchange rates,Financial Openness,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Impartial Public Administration,Licensing restrictions,Tax compliance,Business regulations,Regulation
2017,AGO,Angola,4.89,158,4,6.34,18.44,9.62,1.88,6.33,27.86,10,17,9,25,9.5,4.49,7.26,3.51,3.34,3.18,3.33,3.88,2.3,5.49,3.36,0.88,3.34,9.15,4.23,4.19,14.52,3.66,31.69,5,5.5,9.24,1.14,7.72,11.4,4.25,14.36,7.07,4.93,2.51,3.72,0,0,3.08,0.11,1.06,2.96,5,6.53,6,5.84,10,4.4,7.21,4,6.63,0,5.37,2.4,1.33,8.7,4.37,8.1,4.36,4.88,5.37
2017,ALB,Albania,7.73,37,1,8.08,12.53,6.66,12.74,8,22.02,9,23,7,34,8,6.84,7.52,4.44,4.04,4.57,8.33,4.91,4.39,6.62,6.82,1,5.52,9.15,4.24,9.74,0.65,9.6,1.99,10,9.62,9.64,0.54,9.28,3.6,8.1,4.75,9.01,6.01,9.41,7.71,10,4.16,5.38,8.52,6.02,8.18,10,9.15,10,9.72,5.57,5.37,6.4,8,6.3,10,6.94,6.27,6.67,9.72,6.01,6.03,6.37,6.84,7.83
2017,ARE,United Arab Emirates,7.01,83,3,3.72,27.34,8.7,5.26,0,54.37,10,0,10,16,10,4.69,5.42,5.86,7.47,7.41,8.33,5.75,5.83,9.91,8.33,0.29,4.76,9.63,1.87,7.41,6.46,9.61,1.97,10,9.16,10,0,9.04,4.8,6.29,9.26,8.44,6.97,8.3,7.64,10,10,5.38,6.2,7.19,8.32,5,8.4,10,7.8,10,6.76,7.42,6,10,0,6.7,6.58,5.33,9.63,7.44,10,7.17,7.69,7.4
2017,ARG,Argentina,5.96,134,4,5.58,21.04,6.31,14.05,7.59,23.45,7,35,1,58,4,7.33,6.16,5.28,4.38,4.38,7.5,4.4,3.82,6.86,3.7,0.88,4.74,5.58,22.08,6.02,9.94,4.86,25.7,10,6.62,6.66,5.01,7.26,13.7,5.89,10.28,6.6,4.63,5.16,4.89,10,1.66,0.77,8.85,3.76,6.31,5,4.26,10,6.42,2.77,2.21,3.31,10,2.52,10,5.13,2.49,7.11,9.59,6.52,5.35,6.71,6.3,5.95
2017,ARM,Armenia,7.79,32,1,7.84,13.34,7.77,8.7,9.3,17.46,5,36,5,36,5,9.07,7.79,4.52,4.56,5.38,5.83,4.42,5.2,9.83,5.84,1,5.7,9.1,4.49,9.54,1.15,9.81,0.97,10,9.61,9,1.5,8.8,6,8.08,4.8,8.63,5.69,9.03,7.36,10,8.34,5.38,10,7.91,8.47,10,7.79,10,9.26,6.67,5.74,6.82,10,9.25,0,6.41,4.63,6.22,9.88,4.4,9.32,4.46,6.48,7.39
2017,AUS,Australia,8.25,7,1,4.54,24.58,6.84,12.09,10,14.83,6,45,5,47,5.5,7.49,6.87,8.56,7.71,8.16,10,8.5,6.76,8.17,8.62,1,8.31,9.36,3.22,9.27,1.83,9.61,1.95,10,9.56,8.71,1.93,9.5,2.5,8.31,4.23,8.84,6.67,8.42,7.55,10,10,4.62,0.11,4.91,7.82,10,8.91,10,9.64,8.9,3.75,5.75,10,7.93,10,7.72,3.82,9.56,9.91,10,8.94,9.64,8.64,8.67
2017,AUT,Austria,7.85,26,1,3.76,27.23,3.44,24.59,10,13.06,4,55,3,59,3.5,7.78,5.69,7.8,7.64,8.18,10,8.66,6.99,8.1,8.46,1,8.23,7.45,12.76,9.87,0.32,9.58,2.08,10,9.23,9,1.5,8.98,5.1,6.7,8.26,8.23,6.52,9.96,8.24,10,10,3.08,8.85,7.31,8.44,8,9.71,10,9.24,8.9,3.56,2.23,6,10,3,5.62,4.17,9.33,9.24,9.59,7.3,9.06,8.12,7.66
2017,AZE,Azerbaijan,6.32,117,3,6.86,16.68,7.94,8.07,1.85,43.53,9,25,4,41,6.5,4.14,5.46,3.89,3.9,6.32,5,3.99,7.25,9.86,6.17,0.82,5.29,9.19,4.07,5.79,10.51,7.42,12.9,5,6.85,9.04,1.43,8.2,9,6.69,8.28,7.98,5.96,8.21,7.09,10,4.66,4.62,2.32,3.87,7.23,5,10,9,8,8.33,6.14,7.24,6,8.5,1,6.2,6.07,6.22,9.87,2.57,9.02,2.88,6.11,6.77
2017,BDI,Burundi,5.77,144,4,4.49,24.74,10,0.47,7.24,24.65,8,30,5,38,6.5,4.76,6.6,2.93,2.9,3.21,,2.99,2.81,8.55,3.36,0.82,3.48,7.3,13.5,8.46,3.86,6.79,16.05,10,8.14,8.07,2.9,7.44,12.8,5.14,12.16,6.88,3.67,1.14,2.4,9.09,0,1.54,0.55,0.7,4.77,5,0,10,5,10,3.66,7.41,8,7.76,10,7.8,3.43,2.44,9.76,1.48,9.76,2.11,4.83,5.88
2017,BEL,Belgium,7.61,42,2,2.54,31.37,2.1,29.48,10,9.56,2,50-55,0,67-70,1,8.01,4.73,7.53,7.32,7.88,10,7.78,6.53,4.77,7.63,1,7.43,7.43,12.86,9.84,0.4,9.57,2.13,10,9.21,9,1.5,8.98,5.1,6.7,8.26,8.23,5.9,9.96,7.93,10,10,3.85,9.07,7.64,8.45,8,9.64,10,9.21,8.9,3.7,5.63,6,10,10,7.37,3.46,8.67,9.76,10,7.46,9.53,8.15,8.24
